# trail name, street, town, state, parking
Old Mine Park, 121 Old Mine Rd, Trumbull, CT, Not free
Castle Craig, Peak Dr, Meriden, CT, unknown
Pequonnock River Valley State Park, Tait Road, Trumbull, CT, Not free
Ragged Mountain Trailhead, 437 West Ln, Berlin, CT, No parking
Bear Mountain Trail, Undermountain Trail, Salisbury, CT, unknown
Mirror Lake, 78 Reservoir Ave, Meriden, CT, unknown
Twin Brooks Park, Brock Street, Trumbull, CT, Not free
Booth Hill Brook Trail, Oldfield Rd, Trumbull, CT, No parking
Sleeping Giant State Park, 253-327 Mt Carmel Ave, Hamden, CT, Free Parking
Tidal Marsh Trail, 200 Universal Dr, North Haven, CT, unknown
Chauncey Peak Trail, 701 Westfield Rd, Meriden, CT, Free parking
Peter's Rock Association, 133 Middletown Ave, North Haven, CT, unknown
Appalachian Trail: Salisbury to Jug End Road, Appalachian Trail, Salisbury, CT, Free parking
Hansen Park, 52 Patten Rd, North Haven, CT, unknown
Hemlock Hills, Hemlock Hills, Ridgefield, CT, unknown
Macedonia Ridge Trail, 159 Macedonia Brook Rd, Kent, CT, unknown
Wadsworth Falls Trail, 721 Wadsworth St, Middletown, CT, Free parking
Talcott Mountain State Park, Summit Ridge Dr, Simsbury, CT, unknown
Metacomet Trail, Colt Hwy, Farmington, CT, Free parking
Quinnipiac River State Park, 10 Banton St, North Haven, CT, Free parking
East Rock Park, 41 Cold Spring St, New Haven, CT, Free parking
Onion Mountain Park, 71 W Mountain Rd, West Simsbury, CT, unknown
Penwood State Park, 560 Simsbury Rd, Bloomfield, CT, unknown
Devil’s Den Nature Preserve, 33 Pent Rd, Weston, CT, Free parking
